stimulus,blur,correct_object,real_or_virtual
hanger,100,hanger,real
paint-palette,100,paint-palette,real
scissors,100,scissors,real
keys,15,keys,virtual
rubberduck,65,rubberduck,virtual
box-cutter,15,box-cutter,virtual
sunglasses,100,sunglasses,real
candle,100,candle,real
pen,15,pen,virtual
screwdriver,100,screwdriver,real
apple,65,apple,virtual
banana,65,banana,virtual
lighter,100,lighter,real
toothbrush,65,toothbrush,virtual
calculator,100,calculator,real
clock,100,clock,real
computer-mouse,100,computer-mouse,real
lemon,100,lemon,real
usb-drive,15,usb-drive,virtual
tin-can,15,tin-can,virtual
cup,15,cup,virtual
serving-spoon,65,serving-spoon,virtual
book,65,book,virtual
hairdryer,100,hairdryer,real
